objectid,file_name,title,writer_name,gender,location,longitude,latitude,publisher,publication_date,year,month,day,page_number,related,tone/emotion,subject
df_001,df_1968-01-05.pdf,Already on the Way,Chukuma Dj. Akaeme,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968_01_05,1968,January,5,2,,persuassion,cease-fire
df_002,df_1968-01-05.pdf,Worthy of Note,D.N.C Nwaozor,Undecided,Port Harcourt,7.033611,4.824167,Daily Flash,1968_01_05,1968,January,5,2,,encouraging,conscience; morale
df_003,df_1968-01-10.pdf,Peole's Leader,Clem C. Chukukereze,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968_01_10,1968,January,10,2,,confidence,ojukwu's leadership;saboteurs; subversion
df_004,df_1968-01-10.pdf,Thank You Gowon,Caroline U. Nwafor,Female,Port Harcourt,7.033611,4.824167,Daily Flash,1968_01_10,1968,January,10,2,,excitement,recognition;currency
df_005,df_1968-01-11.pdf,Biafran Soldier What a Man he is,Victoria Nnanabu,Female,Awo-Ommama,6.934444,5.656389,Daily Flash,1968_01_11,1968,January,11,2,,motivating,sacrifice; patriotism; military might
df_006,df_1968-01-11.pdf,Scap This Name,Math O. Chuks,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968_01_11,1968,January,11,2,,concerned,patriotism; national identity; renaming campaign
df_007,df_1968-01-12.pdf,Appeal to PH Landlords,Job N. Ugbaja,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968_01_12,1968,January,12,2,,appeal,voluntary contribution; sacrifice; landlords
df_008,df_1968-01-12.pdf,Kill the Vandals from a distance,R. N. Obi,Undecided,Obia,7.0412, 4.8393,Daily Flash,1968_01_12,1968,January,12,2,,,1966 pogrom; painful memory;meningitis; vandals; British support
df_009,df_1968-01-13.pdf,The Taciturn World,Chukuma Dj. Akaeme,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968_01_13,1968,January,13,2,,,global silence;conscience
df_010,df_1968-01-15.pdf,Don't Ignore Short Men,Chidi Mbaebie,Male,Port Harcourt,7.033611,4.824167,Daily Flash,1968_01_15,1968,January,15,2,,,military recruitment; eligibility 
df_011,df_1968-01-16.pdf,High Cost of Beer,J. D. Maduako,Undecided,Port Harcourt,7.033611,4.824167,Daily Flash,1968_01_16,1968,January,16,2,,,wartime comsumption; price of beer; high cost
df_012,df_1968-01-16.pdf,Nigeria Limited?,Nnochiri S. Ogbonnaya,,Okrika,7.083,4.74,Daily Flash,1968_01_16,1968,January,16,2,,,renaming campaign
df_013,df_1968-01-17.pdf,Is Bob Loko Dead?,John T. Bright,Male,Okrika,7.083,4.74,Daily Flash,1968_01_17,1968,January,17,2,,,columnist
df_014,df_1968-01-18.pdf,Time for a Change of Heart,J. E. Chukwunyere,Undecided,Aba,7.373265,5.121588,Daily Flash,1968_01_18,1968,January,18,2,,,true Biafran; corruption;high cost
df_015,df_1968-01-18.pdf,Worthy Suggestions by Ilozue,J. B. Nzeh,Undecided,Port Harcourt,7.033611,4.824167,Daily Flash,1968_01_18,1968,January,18,2,,,painful memory
df_016,df_1968-01-19.pdf,Impossible Pools Dividends,Nwezike Obi,,Port Harcourt,7.033611,4.824167,Daily Flash,1968_01_19,1968,January,19,2,,,exploitation; corporate transparency; pools
df_017,df_1968-01-20.pdf,Wilson has let down Britain,J. U. Ezechi,Undecided,Aba,7.373265,5.121588,Daily Flash,1968_01_20,1968,January,20,2,,,Harold Wilson; anti-British campaign
df_018,df_1968-01-20.pdf,Ojukwu's Words will come true,J. Chinedu Ozorugwu,Male,Aba,7.373265,5.121588,Daily Flash,1968_01_20,1968,January,20,2,,,Gowon; merceneries
